"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","582243","19571112"
"2","Total No. of patients tested Positive","1248","760327"
"3","No. of patients discharged","1190","742440"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","11934"
"6","Test conducted on the day","","11794"
"7","Positive cases on the day","","19"
"8","Number of active Cases","","135"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218619"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117268"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210064"
"18","Frontline Workers vaccinated with 2nd dose on the day","","14"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012261"
"20","Above 45 Vaccinated with 1st dose on the day","","77"
"21","Total Above 45 Vaccinated with 1st dose","","8313414"
"22","Above 45 Vaccinated with 2nd dose on the day","","1837"
"23","Total Above 45 Vaccinated with 2nd dose","","7256902"
"24","18-44 years age group Vaccinated with 1st dose on the day","","179"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12554331"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3233"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9848733"
"28","15-17 years age group Vaccinated with 1st dose on the day","","139"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1073634"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","343"
"31","Total 15-17 years age group Vaccinated with 2nddose","","705162"
"32","12-14 years age group Vaccinated with 1st dose on the day","","272"
"33","Total 12-14 years age group Vaccinated with 1st dose","","570647"
"34","12-14 years age group Vaccinated with 2nddose on the day","","584"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","264434"
"36","Precautionary dose given on the day","","629"
"37","Total Precautionary dose given","","636468"
"38","Total Vaccination 1st dose on the day","","257"
"39","Total Vaccination 2nd dose on the day","","5087"
"40","Total Vaccination 1st and 2nd dose on the day","","5344"
