"1","Total Samples taken","16013214"
"2","Sample collected on the day","24233"
"3","Test conducted on the day","23888"
"4","Total No. of patients tested Positive","603095"
"5","No. of patients discharged","586207"
"6","Number of active Cases","300"
"7","Total Deaths reported","16588"
"8","No. of Patients on oxygen support","35"
"9","Patients at critical care Level-3 facilities","15"
"10","Patients who are critical and on ventilator support","2"
"11","Healthcare Workers vaccinated with 1st dose on the day","6"
"12","Total Healthcare Workers vaccinated with 1st dose","216647"
"13","Frontline Workers vaccinated with 1st dose on the day","18"
"14","Total Frontline Workers vaccinated with 1st dose","1152924"
"15","Healthcare Workers vaccinated with 2nd dose on the day","16"
"16","Total Healthcare Workers vaccinated with 2nd dose","138227"
"17","Frontline Workers vaccinated with 2nd dose on the day","88"
"18","Total Frontline Workers vaccinated with 2nd dose","336161"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","24"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","104"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1369571"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","474388"
"23","Above 45 Vaccinated with 1st dose on the day","4768"
"24","Total Above 45 Vaccinated with 1st dose","6270868"
"25","Above 45 Vaccinated with 2nd dose on the day","15346"
"26","Total Above 45 Vaccinated with 2nd dose","3256535"
"27","18-44 years age group Vaccinated with 1st dose on the day","17141"
"28","Total 18-44 years age group Vaccinated with 1st dose","8646426"
"29","18-44 years age group Vaccinated with 2nd dose on the day","38202"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3544816"
"31","Total Vaccination 1st dose on the day","21933"
"32","Total Vaccination 2nd dose on the day","53652"
"33","Total Vaccination 1st and 2nd dose on the day","75585"
