"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","478"
"2","Number of persons tested positive today in Tamil Nadu","47"
"3","Total Number of persons tested positive till date","34,54,353"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,881/ 
6,62,99,554@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,858/ 
6,51,22,598"
"6","No. of Male / Female / Transgender tested positive today","26/21/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,975/14,38,340/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","68/ 
34,15,850"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
