"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24034","","5338","","29372",""
"2","Total Active Cases","09 
(0.04%)","","00 
(0%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","23854 
(99.25%)","","5278 
(98.9%)","","29132 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","08","","00","","08",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","101","","05","","106",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","100","","05","","105",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
00 
00 
00 
53"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(16/10/2022)","","Test Done Today 
(17/10/2022)","","Cumulative"
"","","a)RTPCR","340459","","58","","340517"
"","","b)TRUENAT","15487","","15","","15502"
"","","c)RAT","364014","","33","","364047"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721185","","106","","721291"
