"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,781+2","15,644+2","102","35","26-Dec-21"
"2","Coochbehar","29,894+4","29,675+7","99","120-3","26-Dec-21"
"3","Darjeeling","58,407+5","57,620+15","551","236-10","26-Dec-21"
"4","Kalimpong","7,164+1","7,090+1","54","20","26-Dec-21"
"5","Jalpaiguri","42,720+7","41,984+9","592","144-2","26-Dec-21"
"6","Uttar Dinajpur","20,163+2","19,874+3","241","48-1","26-Dec-21"
"7","Dakshin Dinajpur","18,685+1","18,428+5","176","81-4","26-Dec-21"
"8","Malda","33,880+4","33,609+5","188","83-1","26-Dec-21"
"9","Murshidabad","34,252+1","33,873+3","331","48-2","26-Dec-21"
"10","Nadia","74,944+9","73,705+21","902","337-12","26-Dec-21"
"11","Birbhum","42,041+1","41,562+12","294","185-11","26-Dec-21"
"12","Purulia","19,524+1","19,386+1","114","24","26-Dec-21"
"13","Bankura","37,014+3","36,627+7","276","111-4","26-Dec-21"
"14","Jhargram","12,373+4","12,301+3","27","45+1","26-Dec-21"
"15","Paschim Medinipur","54,390+6","53,720+10","512+2","158-6","26-Dec-21"
"16","Purba Medinipur","63,569+1","63,083+5","404","82-4","26-Dec-21"
"17","Purba Bardhaman","42,786+7","42,463+7","209","114","26-Dec-21"
"18","Paschim Bardhaman","58,951+19","58,327+15","366+1","258+3","26-Dec-21"
"19","Howrah","1,01,455+26","99,446+28","1,544","465-2","26-Dec-21"
"20","Hooghly","89,234+26","87,671+32","1,035+3","528-9","26-Dec-21"
"21","North 24 Parganas","3,36,033+77","3,29,757+76","5,008+3","1,268-2","26-Dec-21"
"22","South 24 Parganas","1,03,938+28","1,02,031+31","1,392","515-3","26-Dec-21"
"23","Kolkata","3,33,801+204","3,25,967+148","5,306+1","2,528+55","26-Dec-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,31,065+439","16,03,906+446","19,726+10","7,433-17",""
