"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","776375","0","49705","0","446","1","49251","8"
"2","ALWAR","1568072","4","84438","0","320","0","84109","9"
"3","BANSWARA","308560","3","14758","0","106","0","14640","12"
"4","BARAN","226954","0","15244","0","64","1","15177","3"
"5","BARMER","399393","0","21452","0","205","0","21247","0"
"6","BHARATPUR","473891","1","31446","0","272","0","31153","21"
"7","BHILWARA","500179","0","38176","0","162","0","38014","0"
"8","BIKANER","724372","2","49884","0","586","0","49293","5"
"9","BUNDI","227078","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","447256","0","29364","0","140","0","29222","2"
"11","CHURU","424801","2","20815","0","114","0","20695","6"
"12","DAUSA","283870","0","15773","0","80","0","15693","0"
"13","DHOLPUR","274444","0","13748","0","49","0","13699","0"
"14","DUNGARPUR","326381","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","419048","0","28136","0","158","0","27976","2"
"16","HANUMANGARH","483577","3","22510","0","114","4","22389","7"
"17","JAIPUR","3314712","30","274302","0","2111","31","272042","149"
"18","JAISALMER","240990","0","17036","0","68","0","16968","0"
"19","JALORE","439443","0","10545","0","78","0","10461","6"
"20","JHALAWAR","373427","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","487433","0","19158","0","181","0","18977","0"
"22","JODHPUR","1392307","1","141035","0","1163","5","139851","21"
"23","KARAULI","234405","0","8968","0","84","2","8883","1"
