"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","790654","5","49809","0","447","1","49344","18"
"2","ALWAR","1616683","7","84737","0","321","9","84379","37"
"3","BANSWARA","320174","0","14771","0","106","0","14661","4"
"4","BARAN","239009","0","15306","0","64","1","15240","2"
"5","BARMER","404384","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476301","0","31451","0","272","0","31179","0"
"7","BHILWARA","508300","1","38196","0","162","0","38027","7"
"8","BIKANER","748063","10","50005","0","587","1","49374","44"
"9","BUNDI","235531","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452965","0","29396","0","140","0","29251","5"
"11","CHURU","435566","0","20881","0","115","1","20744","22"
"12","DAUSA","294125","1","15841","0","81","0","15744","16"
"13","DHOLPUR","286988","0","13965","0","49","0","13913","3"
"14","DUNGARPUR","327885","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","423026","0","28153","0","158","0","27993","2"
"16","HANUMANGARH","488918","0","22519","0","114","0","22404","1"
"17","JAIPUR","3443786","40","276463","0","2113","27","274080","270"
"18","JAISALMER","242624","0","17036","0","68","0","16968","0"
"19","JALORE","446120","0","10551","0","78","0","10470","3"
"20","JHALAWAR","404239","0","17752","0","207","0","17538","7"
"21","JHUNJHUNU","493167","1","19160","0","181","0","18978","1"
"22","JODHPUR","1426363","6","141169","0","1164","1","139984","21"
"23","KARAULI","240853","0","8968","0","84","0","8884","0"
