"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","97","5","0","0","69"
"2","ALWAR","61","0","0","3","113"
"3","BANSWARA","2","0","0","0","7"
"4","BARAN","107","0","0","0","5"
"5","BARMER","14","0","0","0","4"
"6","BHARATPUR","53","2","0","4","20"
"7","BHILWARA","38","2","0","0","20"
"8","BIKANER","118","4","0","0","37"
"9","BUNDI","1","1","0","0","7"
"10","CHITTORGARH","8","7","0","0","50"
"11","CHURU","16","0","0","0","0"
"12","DAUSA","28","18","0","20","83"
"13","DHOLPUR","43","0","0","0","10"
"14","DUNGARPUR","50","4","0","0","25"
"15","GANGANAGAR","3","2","0","0","3"
"16","HANUMANGARH","13","0","0","0","8"
"17","JAIPUR","623","32","0","0","299"
"18","JAISALMER","5","0","0","0","13"
"19","JALORE","11","0","0","0","3"
"20","JHALAWAR","17","0","0","2","14"
"21","JHUNJHUNU","11","2","0","0","10"
"22","JODHPUR","143","3","0","0","111"
"23","KARAULI","41","2","0","0","2"
"24","KOTA","245","0","0","0","45"
"25","NAGAUR","29","1","0","20","39"
"26","PALI","129","1","0","0","38"
