"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","228"
"2","Number of persons tested positive today in Tamil Nadu","29"
"3","Total Number of persons tested positive till date","34,53,163"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","19,714/ 
6,58,72,549@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","19,705/ 
6,46,95,908"
"6","No. of Male / Female / Transgender tested positive today","17/12/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,317/14,37,808/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","27/ 
34,14,910"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
