"1","Total Samples taken","*16866118"
"2","Sample collected on the day","9470"
"3","Test conducted on the day","9384"
"4","Total No. of patients tested Positive","605922"
"5","No. of patients discharged","587530"
"6","Number of active Cases","1741"
"7","Total Deaths reported","16651"
"8","No. of Patients on oxygen support","50"
"9","Patients at critical care Level-3 facilities","15"
"10","Patients who are critical and on ventilator support","2"
"11","Healthcare Workers vaccinated with 1st dose on the day","2"
"12","Total Healthcare Workers vaccinated with 1st dose","217982"
"13","Frontline Workers vaccinated with 1st dose on the day","40"
"14","Total Frontline Workers vaccinated with 1st dose","1155286"
"15","Healthcare Workers vaccinated with 2nd dose on the day","28"
"16","Total Healthcare Workers vaccinated with 2nd dose","142077"
"17","Frontline Workers vaccinated with 2nd dose on the day","127"
"18","Total Frontline Workers vaccinated with 2nd dose","345243"
"19","Above 45 Vaccinated with 1st dose on the day","9948"
"20","Total Above 45 Vaccinated with 1st dose","6465094"
"21","Above 45 Vaccinated with 2nd dose on the day","15735"
"22","Total Above 45 Vaccinated with 2nd dose","3840521"
"23","18-44 years age group Vaccinated with 1st dose on the day","22256"
"24","Total 18-44 years age group Vaccinated with 1st dose","9212390"
"25","18-44 years age group Vaccinated with 2nd dose on the day","40197"
"26","Total 18-44 years age group Vaccinated with 2nd dose","5026920"
"27","15-17 years age group Vaccinated with 1st dose on the day","3071"
"28","Total Vaccination 1st dose on the day","35317"
"29","Total Vaccination 2nd dose on the day","56087"
"30","Total Vaccination 1st and 2nd dose on the day","91404"
