"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22603","","5264","","27867",""
"2","Total Active Cases","276 
(1.2%)","","45 
(0.85%)","","321 
(1.2%)",""
"3","Total Cured/ Discharged","22159 
(98.0%)","","5159                                  
(98.0%)","","(98.0%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","11","","0","","11",""
"6","Total Positive cases in Home Isolation","154","","45","","199",""
"7","COVID Care Centre","111","","00","","111",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1080","","181","","1261",""
"10","No. of Samples Positive (Today)","24","","08","","32",""
"11","No. of Samples Negative (Today)","1045","","173","","1218",""
"12","Repeat Positive/ Resampling (Today)","11","","00","","11",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","883 
        00 
        00 
        65 
       948"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(20/01/2022)","","Test Done Today 
(21/02/2022)","","Cumulative"
"","","a)  RTPCR","297786","","1065","","298851"
"","","b)  TRUENAT","12112","","26","","12138"
"","","c)  RAT","346044","","167","","346211"
"","","d)  CBNAAT","755","","03","","758"
"","","TOTAL","656697","","1261","","657958"
