"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,970"
"2","Number of persons tested positive today in Tamil Nadu","1,479"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-2 
Fiji-1 
Qatar-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Assam-1"
"","Total","1,484"
"3","Total Number of persons tested positive till date","34,71,289"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,382/ 
6,70,91,417@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,137/ 
6,59,11,648"
"6","No. of Male / Female / Transgender tested positive today","815/669/0"
"7","No. of Male / Female / Transgender tested positive till date","20,25,017/14,46,234/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","736/ 
34,24,293"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
