"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","796363","9","50028","0","447","0","49509","72"
"2","ALWAR","1628487","12","84929","0","321","3","84562","46"
"3","BANSWARA","322388","0","14782","0","106","0","14672","4"
"4","BARAN","242062","1","15314","0","64","0","15247","3"
"5","BARMER","405992","1","21475","0","205","0","21252","18"
"6","BHARATPUR","476396","0","31453","0","272","0","31180","1"
"7","BHILWARA","510142","8","38285","0","162","0","38074","49"
"8","BIKANER","759199","34","50391","0","590","30","49688","113"
"9","BUNDI","236783","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454689","0","29436","0","140","0","29284","12"
"11","CHURU","437488","0","20951","0","115","3","20826","10"
"12","DAUSA","297390","7","15896","0","82","0","15798","16"
"13","DHOLPUR","289589","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328127","2","25507","0","134","0","25365","8"
"15","GANGANAGAR","423451","0","28187","0","158","0","28021","8"
"16","HANUMANGARH","489465","1","22534","0","115","0","22414","5"
"17","JAIPUR","3478311","37","277625","0","2114","10","275114","397"
"18","JAISALMER","242995","0","17036","0","68","0","16968","0"
"19","JALORE","448905","0","10574","0","78","0","10486","10"
"20","JHALAWAR","414480","0","17766","0","207","0","17556","3"
"21","JHUNJHUNU","494195","0","19161","0","181","0","18980","0"
"22","JODHPUR","1434734","22","141555","0","1164","13","140234","157"
"23","KARAULI","243128","0","8969","0","85","0","8884","0"
"24","KOTA","1135133","1","70130","0","477","0","69650","3"
"25","NAGAUR","651922","4","23771","0","201","8","23555","15"
"26","PALI","462564","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","278214","0","11881","0","65","0","11816","0"
"28","RAJSAMAND","302285","0","23060","0","178","0","22870","12"
"29","SAWAI MADHOPUR","279108","0","15823","0","66","0","15757","0"
