"1","Total Samples taken","19145263"
"2","Sample collected on the day","4452"
"3","Test conducted on the day","6414"
"4","Total No. of patients tested Positive","759284"
"5","No. of patients discharged","741466"
"6","Positive cases on the day","29"
"7","Number of active Cases","75"
"8","Total Deaths reported","17743"
"9","No. of Patients on oxygen support","5"
"10","Patients at critical care Level-3 facilities","1"
"11","Patients who are critical and on ventilator support","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","2"
"13","Total Healthcare Workers vaccinated with 1st dose","218510"
"14","Frontline Workers vaccinated with 1st dose on the day","8"
"15","Total Frontline Workers vaccinated with 1st dose","1116916"
"16","Healthcare Workers vaccinated with 2nd dose on the day","25"
"17","Total Healthcare Workers vaccinated with 2nd dose","209060"
"18","Frontline Workers vaccinated with 2nd dose on the day","130"
"19","Total Frontline Workers vaccinated with 2nd dose","1008313"
"20","Above 45 Vaccinated with 1st dose on the day","598"
"21","Total Above 45 Vaccinated with 1st dose","8272960"
"22","Above 45 Vaccinated with 2nd dose on the day","9268"
"23","Total Above 45 Vaccinated with 2nd dose","6872449"
"24","18-44 years age group Vaccinated with 1st dose on the day","1705"
"25","Total 18-44 years age group Vaccinated with 1st dose","12439518"
"26","18-44 years age group Vaccinated with 2nd dose on the day","19617"
"27","Total 18-44 years age group Vaccinated with 2nd dose","9048543"
"28","15-17 years age group Vaccinated with 1st dose on the day","1945"
"29","Total 15-17 years age group Vaccinated with 1st dose","996900"
"30","15-17 years age group Vaccinated with 2nd dose on the day","4078"
"31","Total 15-17 years age group Vaccinated with 2nddose","533714"
"32","12-14 years age group Vaccinated with 1st dose on the day","4888"
"33","Total 12-14 years age group Vaccinated with 1st dose","361773"
"34","12-14 years age group Vaccinated with 2nddose on the day","3638"
"35","Total 12-14 years age group Vaccinated with 2nddose","6563"
"36","Precautionary dose given on the day","4223"
"37","Total Precautionary dose given","485515"
"38","Total Vaccination 1st dose on the day","2313"
"39","Total Vaccination 2nd dose on the day","29040"
"40","Total Vaccination 1st and 2nd dose on the day","31353"
