"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18375","","3730","","22105",""
"2","Total Active Cases","141 
(0.77%)","","52 
(1.39%)","","193 
(0.87%)",""
"3","Total Cured/ Discharged","18073 
(98.4%)","","3620                                  
(97.1%)","","(98.1%)",""
"4","Total Died","161 
(0.88%)","","58 
(1.6%)","","219 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","00","","22",""
"6","Total Positive cases in Home Isolation","84","","52","","136",""
"7","COVID Care Centre","19","","0","","19",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","585","","444","","1029",""
"10","No. of Samples Positive (Today)","10","","04","","14",""
"11","No. of Samples Negative (Today)","575","","440","","1015",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","312 
           68 
       00 
            12 
          392"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(26/12/2021)","","Test Done Today 
(27/12/2021)","","Cumulative"
"","","a)  RTPCR","249660","","869","","250529"
"","","b)  TRUENAT","11225","","03","","11228"
"","","c)  RAT","337883","","157","","338040"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","598940","","1029","","599969"
