"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","614772","4","37791","0","410","0","37362","19"
"2","ALWAR","1221649","0","59696","0","307","0","59388","1"
"3","BANSWARA","223969","0","10005","0","104","0","9901","0"
"4","BARAN","155340","1","11997","0","61","0","11935","1"
"5","BARMER","327071","0","15569","0","185","0","15379","5"
"6","BHARATPUR","381334","0","19601","0","260","0","19341","0"
"7","BHILWARA","385524","0","29782","0","156","0","29625","1"
"8","BIKANER","589933","0","40347","0","545","0","39802","0"
"9","BUNDI","172063","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","354355","0","19809","0","139","0","19670","0"
"11","CHURU","313368","0","16720","0","107","0","16613","0"
"12","DAUSA","205785","0","13351","0","62","0","13289","0"
"13","DHOLPUR","222220","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","244619","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","328692","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","367388","0","16053","0","111","0","15942","0"
"17","JAIPUR","2507524","12","187889","1","1971","5","185857","61"
"18","JAISALMER","203298","0","13639","0","66","0","13573","0"
"19","JALORE","370960","0","10067","0","72","0","9995","0"
"20","JHALAWAR","274959","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","365299","0","14811","0","158","0","14653","0"
"22","JODHPUR","1149166","0","112415","0","1103","0","111311","1"
"23","KARAULI","167450","0","7156","0","70","0","7086","0"
