"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","972","15","0","28","120"
"2","ALWAR","1285","33","0","0","275"
"3","BANSWARA","284","0","0","6","30"
"4","BARAN","291","1","0","0","3"
"5","BARMER","33","0","0","0","12"
"6","BHARATPUR","628","36","0","0","338"
"7","BHILWARA","760","11","0","0","90"
"8","BIKANER","646","3","0","1","44"
"9","BUNDI","195","4","0","13","42"
"10","CHITTORGARH","692","5","0","23","104"
"11","CHURU","236","0","0","0","2"
"12","DAUSA","769","17","0","6","159"
"13","DHOLPUR","223","0","0","0","35"
"14","DUNGARPUR","454","8","0","17","37"
"15","GANGANAGAR","336","0","0","0","4"
"16","HANUMANGARH","356","0","0","0","25"
"17","JAIPUR","2122","118","0","246","1050"
"18","JAISALMER","179","0","0","6","26"
"19","JALORE","352","4","0","6","16"
"20","JHALAWAR","653","4","0","4","21"
"21","JHUNJHUNU","866","0","0","0","6"
"22","JODHPUR","590","20","0","25","210"
"23","KARAULI","159","0","0","0","5"
"24","KOTA","1033","2","0","3","43"
"25","NAGAUR","542","17","0","8","90"
"26","PALI","895","7","0","3","57"
