"Total No. of Sample Taken Today","13101"
"Total No. of Positive Cases Detected Today","45"
"Total Active COVID-19 Patients","235"
"Total No. of Active Cases under Home Isolation (01-04-2022)","225"
"Total No. of Samples found Positive till date","985263"
"Total Positive COVID-19 Patients Recovered / Discharged till date","974389"
"No. of Deaths","10616"
"Total No. of People Vaccinated Today","20882 
(1st Dose: 7475 
2nd Dose: 11028 
Precaution Dose: 2379)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23154977 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18490363 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","278895"
"Cumulative Coverage of Total COVID-19 Vaccination","41924235"
"COVID-19 Today (01-04-2022) Positivity Rate","0.33%"
"Recovery Rate","98.90%"
"Fatality Rate","1.08%"
"Tests Per Million Population","673612"
