"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23778","","5325","","29103",""
"2","Total Active Cases","69 
(0.29%)","","06 
(0.11%)","","75 
(0.26%)",""
"3","Total Cured/Discharged","23540 
(98.9%)","","5259 
(98.76%)","","28799 
(98.9%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","53","","06","","59",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","289","","31","","320",""
"10","No. of Samples Positive (Today)","16","","02","","18",""
"11","No. of Samples Negative (Today)","273","","29","","302",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
65 
02 
00 
121"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(15/08/2022)","","Test Done Today 
(16/08/2022)","","Cumulative"
"","","a)RTPCR","34690","","83","","34773"
"","","b)TRUENAT","14790","","08","","14798"
"","","c)RAT","358010","","225","","358235"
"","","d)  CBNAAT","1196","","04","","1200"
"","","TOTAL","708686","","320","","709006"
