"Total No. of Sample Taken Today","21507"
"Total No. of Positive Cases Detected Today","11"
"Total Positive Cases under Home Isolation (26-11-2021)","118"
"Total No. of Samples Sent till date","13535291"
"Total No. of Samples found Positive till date","771654 
(M: 471502 
F: 300135 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761441"
"Total Active COVID-19 Patients","136"
"No. of Deaths","10054"
"Total No. of People Vaccinated today","125387 
(1st Dose: 37593, 
2nd Dose: 87794"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","18499926 (90%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","9885800 (48%)"
"Cumulative Coverage of Total COVID-19 Vaccination","28385726"
"COVID-19 Today (27-11-2021) Positivity Rate","0.05%"
"COVID-19 Cumulative Positivity Rate","5.71%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","533937"
