"D
      
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 15-12-2021","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","301","","",""
"","","2","Total Discharges","","2955766","","",""
"","","3","New Cases Reported (14.12.2021, 00:00 to 23:59)","","317","","",""
"","","4","Total Active Cases","","7179","","",""
"","","5","New Covid Deaths","","2","","",""
"","","6","Total Covid Deaths","","38277","","",""
"","","7","Total Positive Cases","","3001251","","",""
"","","8","Positivity rate for the day (14.12.2021, 00:00 to 23:59)","","0.26%","","",""
"","","9","Case fatality rate (CFR) for the day (14.12.2021, 00:00 to 23:59)","","0.63%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","-","","579221","",""
"","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","-","","6597","",""
"*As specified from GOI  
 
 
Date: 15-12-2021 
 Page 1 of 8","","","","","","","",""
