"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,162"
"2","Number of persons tested positive today in Tamil Nadu","284"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","285"
"3","Total Number of persons tested positive till date","35,88,734"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,387/ 
6,96,14,801@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,272/ 
6,83,94,289"
"6","No. of Male / Female / Transgender tested positive today","167/118/0"
"7","No. of Male / Female / Transgender tested positive till date","20,92,523/14,96,173/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","346/ 
35,46,524"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
