state_id,state_name,district_id,district_name,Discrepancy,district_name_cowin,Remark,district_id_add
1,Andaman and Nicobar Islands,3,Nicobars,Nicobars,Nicobar,,
1,Andaman and Nicobar Islands,1,North and Middle Andaman,North and Middle Andaman,North and Middle Andaman,,
1,Andaman and Nicobar Islands,2,South Andaman,South Andaman,South Andaman,,
2,Andhra Pradesh,9,Anantapur,Anantapur,Anantapur,,
2,Andhra Pradesh,10,Chittoor,Chittoor,Chittoor,,
2,Andhra Pradesh,11,East Godavari,East Godavari,East Godavari,,
2,Andhra Pradesh,5,Guntur,Guntur,Guntur,,
2,Andhra Pradesh,4,Krishna,Krishna,Krishna,,
2,Andhra Pradesh,7,Kurnool,Kurnool,Kurnool,,
2,Andhra Pradesh,12,Prakasam,Prakasam,Prakasam,,
2,Andhra Pradesh,13,S.P.S. Nellore,S.P.S. Nellore,Sri Potti Sriramulu Nellore,,
2,Andhra Pradesh,14,Srikakulam,Srikakulam,Srikakulam,,
2,Andhra Pradesh,8,Visakhapatnam,Visakhapatnam,Visakhapatnam,,
2,Andhra Pradesh,15,Vizianagaram,Vizianagaram,Vizianagaram,,
2,Andhra Pradesh,16,West Godavari,West Godavari,West Godavari,,
2,Andhra Pradesh,6,Y.S.R. Kadapa,Y.S.R. Kadapa,"YSR District, Kadapa (Cuddapah)",,
3,Arunachal Pradesh,22,Anjaw,Anjaw,Anjaw,,
3,Arunachal Pradesh,20,Changlang,Changlang,Changlang,,
3,Arunachal Pradesh,25,Upper Dibang Valley,Upper Dibang Valley,Dibang Valley,,
3,Arunachal Pradesh,23,East Kameng,East Kameng,East Kameng,,
3,Arunachal Pradesh,42,East Siang,East Siang,East Siang,,
3,Arunachal Pradesh,17,Itanagar Capital Complex,#N/A,Itanagar Capital Complex,add to Pampum Pare,39
3,Arunachal Pradesh,24,Kamle,Kamle,Kamle,,
3,Arunachal Pradesh,27,Kra Daadi,Kra Daadi,Kra Daadi,,
3,Arunachal Pradesh,21,Kurung Kumey,Kurung Kumey,Kurung Kumey,,
3,Arunachal Pradesh,33,Lepa Rada,Lepa Rada,Lepa Rada,,
3,Arunachal Pradesh,29,Lohit,Lohit,Lohit,,
3,Arunachal Pradesh,40,Longding,Longding,Longding,,
3,Arunachal Pradesh,31,Lower Dibang Valley,Lower Dibang Valley,Lower Dibang Valley,,
3,Arunachal Pradesh,18,Lower Siang,Lower Siang,Lower Siang,,
3,Arunachal Pradesh,32,Lower Subansiri,Lower Subansiri,Lower Subansiri,,
3,Arunachal Pradesh,36,Namsai,Namsai,Namsai,,
3,Arunachal Pradesh,19,Pakke Kessang,Pakke Kessang,Pakke Kessang,,
3,Arunachal Pradesh,39,Papum Pare,Papum Pare,Papum Pare,,17
3,Arunachal Pradesh,35,Shi Yomi,Shi Yomi,Shi Yomi,,
3,Arunachal Pradesh,37,Siang,Siang,Siang,,
3,Arunachal Pradesh,30,Tawang,Tawang,Tawang,,
3,Arunachal Pradesh,26,Tirap,Tirap,Tirap,,
3,Arunachal Pradesh,34,Upper Siang,Upper Siang,Upper Siang,,
3,Arunachal Pradesh,41,Upper Subansiri,Upper Subansiri,Upper Subansiri,,
3,Arunachal Pradesh,28,West Kameng,West Kameng,West Kameng,,
3,Arunachal Pradesh,38,West Siang,West Siang,West Siang,,
4,Assam,46,Baksa,Baksa,Baksa,,
4,Assam,47,Barpeta,Barpeta,Barpeta,,
4,Assam,765,Biswanath,Biswanath,Biswanath,,
4,Assam,57,Bongaigaon,Bongaigaon,Bongaigaon,,
4,Assam,66,Cachar,Cachar,Cachar,,
4,Assam,766,Charaideo,Charaideo,Charaideo,,
4,Assam,58,Chirang,Chirang,Chirang,,
4,Assam,48,Darrang,Darrang,Darrang,,
4,Assam,62,Dhemaji,Dhemaji,Dhemaji,,
4,Assam,59,Dhubri,Dhubri,Dhubri,,
4,Assam,43,Dibrugarh,Dibrugarh,Dibrugarh,,
4,Assam,67,Dima Hasao,Dima Hasao,Dima Hasao,,
4,Assam,60,Goalpara,Goalpara,Goalpara,,
4,Assam,53,Golaghat,Golaghat,Golaghat,,
4,Assam,68,Hailakandi,Hailakandi,Hailakandi,,
4,Assam,764,Hojai,Hojai,Hojai,,
4,Assam,54,Jorhat,Jorhat,Jorhat,,
4,Assam,49,Kamrup Metropolitan,Kamrup Metropolitan,Kamrup Metropolitan,,
4,Assam,50,Kamrup,Kamrup,Kamrup Rural,,
4,Assam,51,Karbi Anglong,Karbi Anglong,Karbi-Anglong,Map to Karbi Anglong,
4,Assam,69,Karimganj,Karimganj,Karimganj,,
4,Assam,61,Kokrajhar,Kokrajhar,Kokrajhar,,
4,Assam,63,Lakhimpur,Lakhimpur,Lakhimpur,,
4,Assam,767,Majuli,Majuli,Majuli,,
4,Assam,55,Morigaon,Morigaon,Morigaon,,
4,Assam,56,Nagaon,Nagaon,Nagaon,,
4,Assam,52,Nalbari,Nalbari,Nalbari,,
4,Assam,44,Sivasagar,Sivasagar,Sivasagar,,
4,Assam,64,Sonitpur,Sonitpur,Sonitpur,,
4,Assam,768,South Salmara Mankachar,South Salmara Mankachar,South Salmara Mankachar,,
4,Assam,45,Tinsukia,Tinsukia,Tinsukia,,
4,Assam,65,Udalguri,Udalguri,Udalguri,,
4,Assam,769,West Karbi Anglong,West Karbi Anglong,West Karbi Anglong,,
5,Bihar,74,Araria,Araria,Araria,,
5,Bihar,78,Arwal,Arwal,Arwal,,
5,Bihar,77,Aurangabad,Aurangabad,Aurangabad,,
5,Bihar,83,Banka,Banka,Banka,,
5,Bihar,98,Begusarai,Begusarai,Begusarai,,
5,Bihar,82,Bhagalpur,Bhagalpur,Bhagalpur,,
5,Bihar,99,Bhojpur,Bhojpur,Bhojpur,,
5,Bihar,100,Buxar,Buxar,Buxar,,
5,Bihar,94,Darbhanga,Darbhanga,Darbhanga,,
5,Bihar,105,East Champaran,East Champaran,East Champaran,,
5,Bihar,79,Gaya,Gaya,Gaya,,
5,Bihar,104,Gopalganj,Gopalganj,Gopalganj,,
5,Bihar,107,Jamui,Jamui,Jamui,,
5,Bihar,91,Jehanabad,Jehanabad,Jehanabad,,
5,Bihar,80,Kaimur,Kaimur,Kaimur,,
5,Bihar,75,Katihar,Katihar,Katihar,,
5,Bihar,101,Khagaria,Khagaria,Khagaria,,
5,Bihar,76,Kishanganj,Kishanganj,Kishanganj,,
5,Bihar,84,Lakhisarai,Lakhisarai,Lakhisarai,,
5,Bihar,70,Madhepura,Madhepura,Madhepura,,
5,Bihar,95,Madhubani,Madhubani,Madhubani,,
5,Bihar,85,Munger,Munger,Munger,,
5,Bihar,86,Muzaffarpur,Muzaffarpur,Muzaffarpur,,
5,Bihar,90,Nalanda,Nalanda,Nalanda,,
5,Bihar,92,Nawada,Nawada,Nawada,,
5,Bihar,97,Patna,Patna,Patna,,
5,Bihar,73,Purnia,Purnia,Purnia,,
5,Bihar,81,Rohtas,Rohtas,Rohtas,,
5,Bihar,71,Saharsa,Saharsa,Saharsa,,
5,Bihar,96,Samastipur,Samastipur,Samastipur,,
5,Bihar,102,Saran,Saran,Saran,,
5,Bihar,93,Sheikhpura,Sheikhpura,Sheikhpura,,
5,Bihar,87,Sheohar,Sheohar,Sheohar,,
5,Bihar,88,Sitamarhi,Sitamarhi,Sitamarhi,,
5,Bihar,103,Siwan,Siwan,Siwan,,
5,Bihar,72,Supaul,Supaul,Supaul,,
5,Bihar,89,Vaishali,Vaishali,Vaishali,,
5,Bihar,106,West Champaran,West Champaran,West Champaran,,
6,Chandigarh,108,Chandigarh,Chandigarh,Chandigarh,,
7,Chhattisgarh,110,Balod,Balod,Balod,,
7,Chhattisgarh,111,Baloda Bazar,Baloda Bazar,Baloda bazar,,
7,Chhattisgarh,112,Balrampur,Balrampur,Balrampur,,
7,Chhattisgarh,113,Bastar,Bastar,Bastar,,
7,Chhattisgarh,114,Bametara,Bametara,Bemetara,,
7,Chhattisgarh,115,Bijapur,Bijapur,Bijapur,,
7,Chhattisgarh,116,Bilaspur,Bilaspur,Bilaspur,,
7,Chhattisgarh,117,Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,Dantewada,,
7,Chhattisgarh,118,Dhamtari,Dhamtari,Dhamtari,,
7,Chhattisgarh,119,Durg,Durg,Durg,,
7,Chhattisgarh,120,Gariaband,Gariaband,Gariaband,,
7,Chhattisgarh,136,Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,Gaurela Pendra Marwahi ,,
7,Chhattisgarh,121,Janjgir Champa,Janjgir Champa,Janjgir-Champa,,
7,Chhattisgarh,122,Jashpur,Jashpur,Jashpur,,
7,Chhattisgarh,123,Uttar Bastar Kanker,Uttar Bastar Kanker,Kanker,,
7,Chhattisgarh,135,Kabeerdham,Kabeerdham,Kawardha,,
7,Chhattisgarh,124,Kondagaon,Kondagaon,Kondagaon,,
7,Chhattisgarh,125,Korba,Korba,Korba,,
7,Chhattisgarh,126,Koriya,Koriya,Koriya,,
7,Chhattisgarh,127,Mahasamund,Mahasamund,Mahasamund,,
7,Chhattisgarh,128,Mungeli,Mungeli,Mungeli,,
7,Chhattisgarh,129,Narayanpur,Narayanpur,Narayanpur,,
7,Chhattisgarh,130,Raigarh,Raigarh,Raigarh,,
7,Chhattisgarh,109,Raipur,Raipur,Raipur,,
7,Chhattisgarh,131,Rajnandgaon,Rajnandgaon,Rajnandgaon,,
7,Chhattisgarh,132,Sukma,Sukma,Sukma,,
7,Chhattisgarh,133,Surajpur,Surajpur,Surajpur,,
7,Chhattisgarh,134,Surguja,Surguja,Surguja,,
8,Dadra and Nagar Haveli and Daman and Diu,137,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,
37,Dadra and Nagar Haveli and Daman and Diu,138,Daman,Daman,Daman,,
37,Dadra and Nagar Haveli and Daman and Diu,139,Diu,Diu,Diu,,
9,Delhi,141,Central Delhi,Central Delhi,Central Delhi,,
9,Delhi,145,East Delhi,East Delhi,East Delhi,,
9,Delhi,140,New Delhi,New Delhi,New Delhi,,
9,Delhi,146,North Delhi,North Delhi,North Delhi,,
9,Delhi,147,North East Delhi,North East Delhi,North East Delhi,,
9,Delhi,143,North West Delhi,North West Delhi,North West Delhi,,
9,Delhi,148,Shahdara,Shahdara,Shahdara,,
9,Delhi,149,South Delhi,South Delhi,South Delhi,,
9,Delhi,144,South East Delhi,South East Delhi,South East Delhi,,
9,Delhi,150,South West Delhi,South West Delhi,South West Delhi,,
9,Delhi,142,West Delhi,West Delhi,West Delhi,,
10,Goa,151,North Goa,North Goa,North Goa,,
10,Goa,152,South Goa,South Goa,South Goa,,
11,Gujarat,154,Ahmedabad,Ahmedabad,Ahmedabad,,770
11,Gujarat,770,Ahmedabad Corporation,#N/A,Ahmedabad Corporation,Add to Ahmedabad,154
11,Gujarat,174,Amreli,Amreli,Amreli,,
11,Gujarat,179,Anand,Anand,Anand,,
11,Gujarat,158,Aravalli,Aravalli,Aravalli,,
