"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","920772","19909644"
"2","Total No. of patients tested Positive","4355","763397"
"3","No. of patients discharged","3230","744480"
"4","Total Deaths reported","32","17778"
"5","Sample collected on the day","","12698"
"6","Test conducted on the day","","12655"
"7","Positive cases on the day","","119"
"8","Number of active Cases","","1139"
"9","No. of Patients on oxygen support","","33"
"10","Patients at critical care Level-3 facilities","","12"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218704"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117525"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210864"
"18","Frontline Workers vaccinated with 2nd dose on the day","","25"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014843"
"20","Above 45 Vaccinated with 1st dose on the day","","58"
"21","Total Above 45 Vaccinated with 1st dose","","8328052"
"22","Above 45 Vaccinated with 2nd dose on the day","","1288"
"23","Total Above 45 Vaccinated with 2nd dose","","7477943"
"24","18-44 years age group Vaccinated with 1st dose on the day","","313"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12597539"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3112"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10293504"
"28","15-17 years age group Vaccinated with 1st dose on the day","","55"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1088206"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","296"
"31","Total 15-17 years age group Vaccinated with 2nddose","","770147"
"32","12-14 years age group Vaccinated with 1st dose on the day","","247"
"33","Total 12-14 years age group Vaccinated with 1st dose","","597776"
"34","12-14 years age group Vaccinated with 2nddose on the day","","525"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","342653"
"36","Precautionary dose given on the day","","587"
"37","Total Precautionary dose given","","748931"
"38","Total Vaccination 1st dose on the day","","372"
"39","Total Vaccination 2nd dose on the day","","4429"
"40","Total Vaccination 1st and 2nd dose on the day","","4801"
