"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","794817","10","49973","0","447","7","49441","85"
"2","ALWAR","1625596","3","84883","0","321","10","84513","49"
"3","BANSWARA","321837","0","14778","0","106","0","14667","5"
"4","BARAN","241189","0","15311","0","64","1","15247","0"
"5","BARMER","405504","7","21464","0","205","2","21252","7"
"6","BHARATPUR","476347","0","31452","0","272","0","31179","1"
"7","BHILWARA","509589","6","38242","0","162","3","38060","20"
"8","BIKANER","755878","30","50277","0","589","23","49572","116"
"9","BUNDI","236610","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454240","1","29427","0","140","0","29276","11"
"11","CHURU","437150","11","20938","0","115","2","20799","24"
"12","DAUSA","296449","0","15879","0","81","0","15793","5"
"13","DHOLPUR","288937","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328026","2","25501","0","134","0","25365","2"
"15","GANGANAGAR","423377","0","28179","0","158","2","28012","9"
"16","HANUMANGARH","489308","0","22529","0","115","0","22410","4"
"17","JAIPUR","3470278","40","277301","0","2114","55","274811","376"
"18","JAISALMER","242876","0","17036","0","68","0","16968","0"
"19","JALORE","447727","0","10564","0","78","0","10481","5"
"20","JHALAWAR","411263","0","17763","0","207","0","17555","1"
"21","JHUNJHUNU","493829","0","19161","0","181","0","18979","1"
"22","JODHPUR","1432295","18","141404","0","1164","24","140136","104"
"23","KARAULI","242511","0","8968","0","84","0","8884","0"
"24","KOTA","1132705","0","70127","0","477","0","69649","1"
"25","NAGAUR","650745","1","23748","0","201","4","23532","15"
"26","PALI","462485","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","278020","0","11881","0","65","0","11813","3"
"28","RAJSAMAND","302143","0","23050","0","178","0","22863","9"
"29","SAWAI MADHOPUR","278656","0","15823","0","66","0","15756","1"
