"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,676"
"2","Number of persons tested positive today in Tamil Nadu","129"
"3","Total Number of persons tested positive till date","34,51,598"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","42,026/ 
6,48,79,171@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","41,908/ 
6,37,03,532"
"6","No. of Male / Female / Transgender tested positive today","62/67/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,541/14,37,019/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","354/ 
34,11,899"
"10","Total number of deaths today/ till date","2(0 Private &  
2 Govt) /38,023"
