"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","873"
"2","Number of persons tested positive today in Tamil Nadu","72"
"3","Total Number of persons tested positive till date","34,52,145"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","36,100/ 
6,51,19,008@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","36,046/ 
6,39,42,920"
"6","No. of Male / Female / Transgender tested positive today","36/36/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,822/14,37,285/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","161/ 
34,13,248"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,024"
