"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23005","","5283","","28288",""
"2","Total Active Cases","15 
(0.07%)","","02 
(0.04%)","","17 
(0.06%)",""
"3","Total Cured/Discharged","22822 
(99.2%)","","5221 
(98.8%)","","28043 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","02","","04",""
"6","Total Positive cases in Home Isolation","12","","00","","12",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","126","","42","","168",""
"10","No. of Samples Positive (Today)","02","","02","","04",""
"11","No. of Samples Negative (Today)","124","","40","","164",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","52 
00 
21 
05 
78"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(11/06/2022)","","Test Done Today 
(12/06/2022)","","Cumulative"
"","","a)RTPCR","324073","","107","","324180"
"","","b)TRUENAT","14156","","22","","14178"
"","","c)RAT","349711","","39","","349750"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689045","","168","","689213"
