"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23883","","5335","","29218",""
"2","Total Active Cases","50 
(0.21%)","","03 
(0.05%)","","53 
(0.18%)",""
"3","Total Cured/Discharged","23663 
(99.1%)","","5272 
(98.8%)","","28935 
(99.03%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","0","","06",""
"6","Total Positive cases in Home Isolation","38","","03","","41",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","125","","46","","171",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","121","","46","","167",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","54 
00 
01 
00 
55"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(30/08/2022)","","Test Done Today 
(31/08/2022)","","Cumulative"
"","","a)RTPCR","36606","","129","","36735"
"","","b)TRUENAT","14953","","12","","14965"
"","","c)RAT","362425","","30","","362455"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715209","","171","","715380"
