"Total No. of Sample Taken Today","6140"
"Total No. of Positive Cases Detected Today","37"
"Total Active COVID-19 Patients","227"
"Total No. of Active Cases under Home Isolation (02-10-2022)","206"
"Total No. of Samples found Positive till date","1055014"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1044059"
"No. of Deaths","10705"
"Total No. of People Vaccinated Today","502 
(1st Dose: 58 
2nd Dose: 81 
Precaution Dose: 363)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23664688 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19807550 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1903239"
"Cumulative Coverage of Total COVID-19 Vaccination","45375477"
"COVID-19 Today (02-10-2022) Positivity Rate","0.59%"
"Recovery Rate","98.96%"
"Fatality Rate","1.01%"
