"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
30-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","180","182696","181110[22]","99.13","926","660","6029","12666","4254967"
"2","Faridabad","44","100170","99318[7]","99.15","717","135","5428","13058","3109297"
"3","Hisar","4","54010","52865","97.88","1137","8","12942","24295","1833461"
"4","Sonepat","12","47166","46892","99.42","254","20","7642","14635","1787310"
"5","Karnal","2","40086","39513[4]","98.57","554","19","6475","14370","1876641"
"6","Panipat","1","31171","30520","97.91","638","13","6647","12023","1562102"
"7","Panchkula","20","30977","30531[14]","98.56","381","65","2153","4567","886086"
"8","Ambala","9","30211","29652[6]","98.15","509","50","2399","2933","1792065"
"9","Sirsa","0","29306","28793","98.25","509","4","10823","19695","1591601"
"10","Rohtak","4","25931","25372","97.84","534","8","5535","6924","1284372"
"11","Yamunanagar","7","24686","24248[2]","98.23","414","24","2165","10365","1448618"
"12","Bhiwani","0","22413","21759","97.08","652","2","3551","10032","1450428"
"13","Kurukshetra","3","22182","21807","98.31","358","17","3836","7958","1135708"
"14","Mahindergarh","0","21689","21534","99.29","155","0","3186","8252","1099526"
"15","Jind","3","21214","20677","97.47","533","4","7407","10191","1336169"
"16","Rewari","3","20333","20109","98.90","221","3","3074","7316","1274097"
"17","Jhajjar","4","18859","18518[1]","98.19","328","7","3865","7964","1257250"
"18","Fatehabad","1","17881","17398","97.30","482","1","4508","12611","983496"
"19","Kaithal","1","11253","10904","96.90","346","3","10021","7727","1342373"
"20","Palwal","0","11031","10877","98.60","153","1","2417","7108","1155952"
"21","Charkhi Dadri","1","5081","4940","97.22","139","2","830","1651","713660"
"22","Nuh","1","5015","4891","97.53","123","1","2038","7097","857929"
"Haryana","","300","773361","762228[56]","98.56","10063","1047","112971","223438","34033108"
