"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23407","","5285","","28692",""
"2","Total Active Cases","103 
(0.44%)","","01 
(0.02%)","","104 
(0.36%)",""
"3","Total Cured/Discharged","23136 
(98.84%)","","5224 
(98.8%)","","28360 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","00","","19",""
"6","Total Positive cases in Home Isolation","76","","01","","77",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","07","","00","","07",""
"9","No. of Samples Tested (Today)","445","","39","","484",""
"10","No. of Samples Positive (Today)","22","","00","","22",""
"11","No. of Samples Negative (Today)","422","","39","","461",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","63 
22 
11 
03 
99"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(20/07/2022)","","Test Done Today 
(21/07/2022)","","Cumulative"
"","","a)RTPCR","330164","","130","","330294"
"","","b)TRUENAT","14566","","09","","14575"
"","","c)RAT","352385","","345","","352730"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","698220","","484","","698704"
