"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","294","8","0","13","63"
"2","ALWAR","1147","11","0","9","75"
"3","BANSWARA","141","0","0","0","18"
"4","BARAN","258","0","0","0","5"
"5","BARMER","55","0","0","0","0"
"6","BHARATPUR","94","1","0","3","5"
"7","BHILWARA","239","0","0","6","26"
"8","BIKANER","653","4","0","3","29"
"9","BUNDI","153","1","0","0","12"
"10","CHITTORGARH","236","4","0","4","30"
"11","CHURU","129","0","0","0","0"
"12","DAUSA","523","0","0","14","41"
"13","DHOLPUR","227","3","0","0","11"
"14","DUNGARPUR","239","0","0","3","15"
"15","GANGANAGAR","163","0","0","0","2"
"16","HANUMANGARH","284","1","0","0","11"
"17","JAIPUR","1573","15","0","47","218"
"18","JAISALMER","3","0","0","0","3"
"19","JALORE","106","0","0","0","13"
"20","JHALAWAR","461","0","0","0","1"
"21","JHUNJHUNU","455","0","0","0","0"
"22","JODHPUR","241","4","0","13","67"
"23","KARAULI","327","0","0","1","5"
"24","KOTA","882","3","0","11","40"
"25","NAGAUR","322","0","0","5","9"
"26","PALI","645","0","0","3","15"
