"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1382603","20373066"
"2","Total No. of patients tested Positive","18861","779421"
"3","No. of patients discharged","16435","756710"
"4","Total Deaths reported","115","20420"
"5","Sample collected on the day","","9301"
"6","Test conducted on the day","","9148"
"7","Positive cases on the day","","256"
"8","Number of active Cases","","2291"
"9","No. of Patients on oxygen support","","103"
"10","Patients at critical care Level-3 facilities","","29"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218835"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117797"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211663"
"18","Frontline Workers vaccinated with 2nd dose on the day","","9"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018098"
"20","Above 45 Vaccinated with 1st dose on the day","","23"
"21","Total Above 45 Vaccinated with 1st dose","","8340247"
"22","Above 45 Vaccinated with 2nd dose on the day","","198"
"23","Total Above 45 Vaccinated with 2nd dose","","7616418"
"24","18-44 years age group Vaccinated with 1st dose on the day","","288"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12639724"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","475"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10603302"
"28","15-17 years age group Vaccinated with 1st dose on the day","","25"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106072"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","125"
"31","Total 15-17 years age group Vaccinated with 2nddose","","837777"
"32","12-14 years age group Vaccinated with 1st dose on the day","","102"
"33","Total 12-14 years age group Vaccinated with 1st dose","","653886"
"34","12-14 years age group Vaccinated with 2nddose on the day","","58"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","441939"
"36","Precautionary dose given on the day","","2599"
"37","Total Precautionary dose given","","1323025"
"38","Total Vaccination 1st dose on the day","","313"
"39","Total Vaccination 2nd dose on the day","","684"
"40","Total Vaccination 1st and 2nd dose on the day","","997"
