"S. No","Subject","Number"
"1","Total Number of people vaccinated on 24th Jan","61,929"
"2","First Dose on 24th Jan","4,896"
"3","Second Dose on 24th Jan","52,524"
"4","Precaution Dose on 24th Jan","4,509"
"5","Cumulative Vaccination till 24th Jan","11,69,16,085"
"6","Cumulative Vaccination First Dose","6,86,00,694"
"7","Cumulative Vaccination Second Dose","4,77,48,476"
"8","Cumulative Precaution Dose","5,66,915"
"9","Number of CVC (Common Vaccination Centres)","1,294"
"10","Cumulative AEFI cases reported","6,671"
"11","Vaccine wastage","-7%"
