"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,821"
"2","Number of persons tested positive today in Tamil Nadu","687"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 1"
"","Total","688"
"3","Total Number of persons tested positive till date","27,34,034"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,017/ 
5,52,92,447@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,771/ 
5,43,57,568"
"6","No. of Male / Female / Transgender tested positive today","415/273/0"
"7","No. of Male / Female / Transgender tested positive till date","15,95,863/11,38,133/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","739/ 
26,89,627"
"10","Total number of deaths today/ till date","11(5 Private &  
6 Govt) /36,586)"
