"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","789427","4","49795","0","447","0","49328","20"
"2","ALWAR","1613942","9","84699","0","320","6","84329","50"
"3","BANSWARA","319321","2","14769","0","106","0","14659","4"
"4","BARAN","237833","0","15304","0","64","0","15232","8"
"5","BARMER","404110","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476295","0","31451","0","272","0","31179","0"
"7","BHILWARA","507811","0","38189","0","162","0","38021","6"
"8","BIKANER","745558","4","49961","0","586","5","49361","14"
"9","BUNDI","234981","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452615","0","29391","0","140","0","29247","4"
"11","CHURU","434994","1","20858","0","115","0","20736","7"
"12","DAUSA","293168","0","15825","0","81","0","15740","4"
"13","DHOLPUR","286192","1","13963","0","49","0","13912","2"
"14","DUNGARPUR","327827","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422909","0","28151","0","158","0","27991","2"
"16","HANUMANGARH","488779","0","22518","0","114","0","22404","0"
"17","JAIPUR","3433671","23","276216","0","2113","15","273860","243"
"18","JAISALMER","242559","0","17036","0","68","0","16968","0"
"19","JALORE","445740","0","10548","0","78","0","10469","1"
"20","JHALAWAR","400916","3","17747","0","207","0","17529","11"
"21","JHUNJHUNU","492912","0","19159","0","181","0","18977","1"
"22","JODHPUR","1424513","2","141147","0","1164","1","139970","13"
"23","KARAULI","239788","0","8968","0","84","0","8884","0"
