"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22660","","5268","","27928",""
"2","Total Active Cases","251 
(1.1%)","","33 
(0.6%)","","284 
(1.0%)",""
"3","Total Cured/ Discharged","22241 
(98.2%)","","5175                                  
(98.2%)","","(98.2%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","0","","09",""
"6","Total Positive cases in Home Isolation","131","","33","","164",""
"7","COVID Care Centre","111","","00","","111",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","631","","141","","772",""
"10","No. of Samples Positive (Today)","22","","04","","26",""
"11","No. of Samples Negative (Today)","609","","137","","746",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","356 
        00 
        00 
        53 
       409"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(22/01/2022)","","Test Done Today 
(23/02/2022)","","Cumulative"
"","","a)  RTPCR","300278","","688","","300966"
"","","b)  TRUENAT","12180","","23","","12203"
"","","c)  RAT","346278","","42","","346320"
"","","d)  CBNAAT","784","","19","","803"
"","","TOTAL","659520","","772","","660292"
