"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","10","158009","60","156856","1093"
"2","Chittoor","28","247944","290","245701","1953"
"3","East Godavari","38","294632","381","292961","1290"
"4","Guntur","39","178817","210","177359","1248"
"5","YSR Kadapa","12","115854","37","115173","644"
"6","Krishna","56","120194","399","118341","1454"
"7","Kurnool","1","124192","14","123324","854"
"8","Nellore","15","146834","278","145503","1053"
"9","Prakasam","4","138686","67","137490","1129"
"10","Srikakulam","16","123403","105","122509","789"
"11","Visakhapatnam","15","158355","123","157099","1133"
"12","Vizianagaram","0","83051","37","82342","672"
"13","West Godavari","14","179580","157","178303","1120"
"","Total AP Cases","248","2069551","2158","2052961","14432"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","248","2072446","2158","2055856","14432"
