"D
       
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 01-11-2021","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","318","","",""
"","","2","Total Discharges","","2941896","","",""
"","","3","New Cases Reported (31.10.2021, 00:00 to 23:59)","","188","","",""
"","","4","Total Active Cases","","8512","","",""
"","","5","New Covid Deaths","","2","","",""
"","","6","Total Covid Deaths","","38084","","",""
"","","7","Total Positive Cases","","2988521","","",""
"","","8","Positivity rate for the day (31.10.2021, 00:00 to 23:59)","","0.25%","","",""
"","","9","Case fatality rate (CFR) for the day (31.10.2021, 00:00 to 23:59)","","1.06%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","-","","459297","",""
"","UK passengers arrived from 25-11- 2020 to till date 
B","","","-","","37771","",""
"Date: 01-11-2021 
 Page 1 of 8","","","","","","","",""
