"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23970","","5338","","29308",""
"2","Total Active Cases","20 
(0.08%)","","01 
(0.02%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23780 
(99.2%)","","5277 
(98.85%)","","29057 
(99.14%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","16","","01","","17",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","121","","16","","137",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","117","","16","","133",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","63 
18 
03 
00 
84"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(17/09/2022)","","Test Done Today 
(18/09/2022)","","Cumulative"
"","","a)RTPCR","38427","","83","","38510"
"","","b)TRUENAT","15141","","16","","15157"
"","","c)RAT","363134","","38","","363172"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717927","","137","","718064"
