"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","243"
"2","Number of persons tested positive today in Tamil Nadu","27"
"","Passengers returned from other countries  by 
International airport tested positive today","Canada-4"
"","Total","31"
"3","Total Number of persons tested positive till date","34,53,351"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,583/ 
6,59,81,288@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,575/ 
6,48,04,588"
"6","No. of Male / Female / Transgender tested positive today","13/18/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,411/14,37,902/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23/ 
34,15,083"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
