"S. No","Subject","Number"
"1","Total Number of people vaccinated on 12th Jan","8,64,725"
"2","First Dose on 12th Jan","3,44,188"
"3","Second Dose on 12th Jan","4,71,270"
"4","Precaution Dose on 12th Jan","49,267"
"5","Cumulative Vaccination till 12th Jan","11,06,64,811"
"6","Cumulative Vaccination First Dose","6,71,27,115"
"7","Cumulative Vaccination Second Dose","4,34,53,184"
"8","Cumulative Precaution Dose","84,512"
"9","Number of CVC (Common Vaccination Centres)","5,894"
"10","Cumulative AEFI cases reported","6,562"
"11","Vaccine wastage","-7%"
