"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,472"
"2","Number of persons tested positive today in Tamil Nadu","537"
"3","Total Number of persons tested positive till date","35,81,516"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,465/ 
6,93,79,126@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,298/ 
6,81,61,455"
"6","No. of Male / Female / Transgender tested positive today","318/219/0"
"7","No. of Male / Female / Transgender tested positive till date","20,88,309/14,93,169/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","502/ 
35,37,998"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,046"
