"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22943","","5275","","28218",""
"2","Total Active Cases","22 
(0.09%)","","00 
(0%)","","22 
(0.08%)",""
"3","Total Cured/ Discharged","22753 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","15","","00","","15",""
"7","COVID Care Centre","05","","00","","05",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","251","","116","","367",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","250","","116","","366",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","269 
        00 
        00 
        04 
       273"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(24/03/2022)","","Test Done Today 
(25/03/2022)","","Cumulative"
"","","a)  RTPCR","314310","","283","","314593"
"","","b)  TRUENAT","12833","","30","","12863"
"","","c)  RAT","347372","","41","","347413"
"","","d)  CBNAAT","932","","13","","945"
"","","TOTAL","675447","","367","","675814"
