"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","758853","30","49552","1","444","52","48851","257"
"2","ALWAR","1511356","25","84306","0","320","94","83767","219"
"3","BANSWARA","295960","39","14527","0","106","58","14191","230"
"4","BARAN","216455","7","15175","0","64","0","15009","102"
"5","BARMER","393278","6","21410","0","205","2","21151","54"
"6","BHARATPUR","462257","8","31349","0","272","30","30987","90"
"7","BHILWARA","487406","11","38079","0","161","29","37815","103"
"8","BIKANER","703050","32","49685","0","583","35","48938","164"
"9","BUNDI","220061","2","9715","0","55","0","9643","17"
"10","CHITTORGARH","441359","11","29313","0","140","0","29065","108"
"11","CHURU","407708","15","20663","0","114","23","20414","135"
"12","DAUSA","271454","0","15744","0","77","8","15619","48"
"13","DHOLPUR","268784","0","13716","0","49","17","13611","56"
"14","DUNGARPUR","323397","3","25466","0","134","11","25286","46"
"15","GANGANAGAR","407837","15","27995","0","158","106","27589","248"
"16","HANUMANGARH","471983","18","22358","0","114","8","22134","110"
"17","JAIPUR","3179996","163","271964","0","2108","369","267613","2243"
"18","JAISALMER","238272","6","17010","0","68","0","16818","124"
"19","JALORE","432964","3","10516","0","78","0","10423","15"
"20","JHALAWAR","357345","8","17625","0","207","14","17354","64"
"21","JHUNJHUNU","470241","26","19030","0","179","67","18636","215"
"22","JODHPUR","1356529","62","140496","0","1162","90","139213","121"
"23","KARAULI","226580","16","8904","0","84","42","8711","109"
