"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,694"
"2","Number of persons tested positive today in Tamil Nadu","585"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1 
UAE-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Himachal Pradesh-1"
"","Passengers returned from other states  by Road tested 
positive today","Bangladesh-1"
"","Total","589"
"3","Total Number of persons tested positive till date","34,59,586"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,811/ 
6,68,54,575@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,742/ 
6,56,76,614"
"6","No. of Male / Female / Transgender tested positive today","298/291/0"
"7","No. of Male / Female / Transgender tested positive till date","20,18,821/14,40,727/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","208/ 
34,18,866"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
