"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1239","11","1","6","194"
"2","ALWAR","1387","34","0","108","388"
"3","BANSWARA","269","14","0","2","34"
"4","BARAN","324","1","0","3","0"
"5","BARMER","53","1","0","1","2"
"6","BHARATPUR","760","66","1","0","546"
"7","BHILWARA","624","0","0","2","62"
"8","BIKANER","725","0","0","13","36"
"9","BUNDI","266","0","0","9","38"
"10","CHITTORGARH","945","23","0","40","171"
"11","CHURU","567","1","0","0","11"
"12","DAUSA","642","33","0","20","109"
"13","DHOLPUR","77","0","0","11","12"
"14","DUNGARPUR","362","4","0","8","68"
"15","GANGANAGAR","316","0","0","0","4"
"16","HANUMANGARH","273","1","0","1","13"
"17","JAIPUR","2547","123","1","118","1560"
"18","JAISALMER","136","1","0","5","31"
"19","JALORE","218","0","0","7","12"
"20","JHALAWAR","604","4","0","2","27"
"21","JHUNJHUNU","905","0","0","0","2"
"22","JODHPUR","861","36","0","5","144"
"23","KARAULI","437","1","1","0","0"
"24","KOTA","610","3","0","27","57"
"25","NAGAUR","991","7","0","18","77"
"26","PALI","1279","13","0","14","75"
