"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17584","","3621","","21205",""
"2","Total Active Cases","196 
(1.11%)","","04 
(0.11%)","","200 
(0.94%)",""
"3","Total Cured/ Discharged","17235 
(98.0%)","","3559 
(98.3%)","","20794 
(98.1%)",""
"4","Total Died","153 
(0.87%)","","58 
(1.60%)","","211 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","01","","20",""
"6","Total Positive cases in Home Isolation","165","","03","","168",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","242","","74","","316",""
"10","No. of Samples Positive (Today)","29","","00","","29",""
"11","No. of Samples Negative (Today)","212","","74","","286",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","102 
           19 
       00 
            08 
          129"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(14/11/2021)","","Test Done Today 
(15/11/2021)","","Cumulative"
"","","a)  RTPCR","220099","","248","","220347"
"","","b)  TRUENAT","11017","","00","","11017"
"","","c)  RAT","329615","","68","","329683"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","560878","","316","","561194"
