"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24042","","5338","","29380",""
"2","Total Active Cases","09 
(0.04%)","","00 
(0%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","23862 
(99.25%)","","5278 
(98.9%)","","29140 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","00","","01",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","82","","06","","88",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","81","","06","","87",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
00 
00 
00 
53"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(21/10/2022)","","Test Done Today 
(22/10/2022)","","Cumulative"
"","","a)RTPCR","340746","","50","","340796"
"","","b)TRUENAT","15533","","06","","15539"
"","","c)RAT","364162","","32","","364194"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","721666","","88","","721754"
