"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1302575","20293038"
"2","Total No. of patients tested Positive","16103","776664"
"3","No. of patients discharged","13097","753372"
"4","Total Deaths reported","87","20393"
"5","Sample collected on the day","","11150"
"6","Test conducted on the day","","10953"
"7","Positive cases on the day","","423"
"8","Number of active Cases","","2899"
"9","No. of Patients on oxygen support","","111"
"10","Patients at critical care Level-3 facilities","","20"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218813"
"14","Frontline Workers vaccinated with 1st dose on the day","","20"
"15","Total Frontline Workers vaccinated with 1st dose","","1117768"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","22"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211603"
"18","Frontline Workers vaccinated with 2nd dose on the day","","50"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017827"
"20","Above 45 Vaccinated with 1st dose on the day","","180"
"21","Total Above 45 Vaccinated with 1st dose","","8338853"
"22","Above 45 Vaccinated with 2nd dose on the day","","2333"
"23","Total Above 45 Vaccinated with 2nd dose","","7602838"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1199"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12633512"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4792"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10574673"
"28","15-17 years age group Vaccinated with 1st dose on the day","","367"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1104714"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1210"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","833305"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1208"
"33","Total 12-14 years age group Vaccinated with 1st dose","","648074"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","1932"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","435753"
"36","Precautionary dose given on the day","","20778"
"37","Total Precautionary dose given","","1211290"
"38","Total Vaccination 1st dose on the day","","1401"
"39","Total Vaccination 2nd dose on the day","","7197"
"40","Total Vaccination 1st and 2nd dose on the day","","8598"
