"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","418"
"2","Number of persons tested positive today in Tamil Nadu","35"
"3","Total Number of persons tested positive till date","34,52,647"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,192/ 
6,54,54,407@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,171/ 
6,42,78,000"
"6","No. of Male / Female / Transgender tested positive today","18/17/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,061/14,37,548/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","63/ 
34,14,204"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
