"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,842"
"2","Number of persons tested positive today in Tamil Nadu","591"
"3","Total Number of persons tested positive till date","35,63,913"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","21,401/ 
6,87,07,811@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","21,169/ 
6,74,96,127"
"6","No. of Male / Female / Transgender tested positive today","351/240/0"
"7","No. of Male / Female / Transgender tested positive till date","20,78,301/14,85,574/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","696/ 
35,20,038"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
