"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1110","1122","268094","154","14576","282670","396"
"Bageshwar","537","282","229645","64","7040","236685","911"
"Chamoli","883","1088","309758","189","13973","323731","190"
"Champawat","771","1303","288276","90","8949","297225","249"
"Dehradun","7817","6781","2048845","1316","135614","2184459","2162"
"Haridwar","7088","7149","2367317","609","60995","2428312","127"
"Nainital","1560","1343","604595","585","48130","652725","386"
"Pauri Garhwal","1501","928","438129","214","21337","459466","635"
"Pithoragarh","551","544","249958","90","11740","261698","789"
"Rudraprayag","811","146","211212","108","9819","221031","1007"
"Tehri Garhwal","689","484","318484","100","17397","335881","699"
"US Nagar","2639","3005","1020490","290","44391","1064881","328"
"Uttarkashi","569","382","355690","84","13397","369087","388"
"Total","26526","24557","8710493","3893","407358","9117851","8267"
