"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"11","Solapur","44013","39281","1441","1","3290"
"12","Nashik","94474","87819","1541","","5114"
"13","Ahmednagar","56116","49792","853","","5471"
"14","Jalgaon","53560","50075","1347","","2138"
"15","Nandurbar","6393","5765","141","","487"
"16","Dhule","14204","13587","340","2","275"
"17","Aurangabad","41805","39715","978","","1112"
"18","Jalna","10438","9612","284","","542"
"19","Beed","13888","12389","415","","1084"
"20","Latur","20739","18097","610","","2032"
"21","Parbhani","6647","5751","238","","658"
"22","Hingoli","3641","3052","74","","515"
"23","Nanded","19214","16747","522","","1945"
"24","Osmanabad","15334","13666","496","","1172"
"25","Amaravati","17010","15855","349","","806"
"26","Akola","8581","7682","280","1","618"
"27","Washim","5754","5411","136","1","206"
"28","Buldhana","10527","8318","168","","2041"
"29","Yavatmal","10895","9956","316","","623"
"30","Nagpur","102176","94311","2731","10","5124"
"31","Wardha","6607","5871","204","1","531"
"32","Bhandara","8911","7529","193","","1189"
"33","Gondia","9872","8967","112","","793"
"34","Chandrapur","16309","11805","243","","4261"
"35","Gadchiroli","5327","4340","36","","951"
