"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","139","109916","122","107611","1","2280","25"
"2","SAS Nagar","255","95946","206","94739","0","1148","59"
"3","Jalandhar","97","78368","82","76782","0","1578","8"
"4","Patiala","197","62229","196","60768","0","1458","3"
"5","Amritsar","56","59451","50","57758","0","1682","11"
"6","Bathinda","36","50906","33","49811","0","1088","7"
"7","Hoshiarpur","49","40888","58","39790","0","1096","2"
"8","Gurdaspur","17","26956","13","26086","1","865","5"
"9","Pathankot","33","24567","38","24071","0","495","1"
"10","Fazilka","17","23415","29","22868","0","545","2"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","30","22063","23","21475","1","583","5"
"13","Ropar","20","17958","10","17493","0","455","10"
"14","Ferozepur","12","17911","10","17370","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","23","16806","24","16465","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","24","13012","0","409","0"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","4","10735","1","255","1"
"21","Tarn Taran","3","10902","2","10507","0","394","1"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1031","760107","957","742207","4","17751","149"
