"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","451840","19440702"
"2","Total No. of patients tested Positive","1031","760107"
"3","No. of patients discharged","957","742207"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","10210"
"6","Test conducted on the day","","9152"
"7","Positive cases on the day","","17"
"8","Number of active Cases","","149"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218592"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117164"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209840"
"18","Frontline Workers vaccinated with 2nd dose on the day","","95"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011272"
"20","Above 45 Vaccinated with 1st dose on the day","","713"
"21","Total Above 45 Vaccinated with 1st dose","","8301600"
"22","Above 45 Vaccinated with 2nd dose on the day","","12956"
"23","Total Above 45 Vaccinated with 2nd dose","","7143597"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2179"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12517291"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","25520"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9628404"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1458"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1059721"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","5534"
"31","Total 15-17 years age group Vaccinated with 2nddose","","667744"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4156"
"33","Total 12-14 years age group Vaccinated with 1st dose","","534310"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4998"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","211025"
"36","Precautionary dose given on the day","","3335"
"37","Total Precautionary dose given","","595800"
"38","Total Vaccination 1st dose on the day","","2902"
"39","Total Vaccination 2nd dose on the day","","38587"
"40","Total Vaccination 1st and 2nd dose on the day","","41489"
