"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","15,843"
"2","Number of persons tested positive today in Tamil Nadu","2,012"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-1 
Kerala-1"
"","Total","2,014"
"3","Total Number of persons tested positive till date","35,30,398"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","35,011/ 
6,78,91,953@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","34,236/ 
6,66,94,774"
"6","No. of Male / Female / Transgender tested positive today","1,167/847/0"
"7","No. of Male / Female / Transgender tested positive till date","20,58,253/14,72,107/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77$ Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,324/ 
34,76,523"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
