"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1123","21","0","8","120"
"2","ALWAR","174","9","0","59","182"
"3","BANSWARA","199","1","0","5","10"
"4","BARAN","383","0","0","0","3"
"5","BARMER","32","0","0","0","12"
"6","BHARATPUR","463","11","0","50","183"
"7","BHILWARA","608","11","0","22","92"
"8","BIKANER","757","3","0","13","33"
"9","BUNDI","127","0","0","2","35"
"10","CHITTORGARH","550","17","0","16","88"
"11","CHURU","240","0","0","0","0"
"12","DAUSA","791","15","0","32","120"
"13","DHOLPUR","129","0","0","0","39"
"14","DUNGARPUR","270","16","0","2","66"
"15","GANGANAGAR","299","2","0","2","8"
"16","HANUMANGARH","451","1","0","4","24"
"17","JAIPUR","2199","128","0","72","932"
"18","JAISALMER","73","1","0","1","23"
"19","JALORE","201","3","0","3","19"
"20","JHALAWAR","620","3","0","4","26"
"21","JHUNJHUNU","815","0","0","0","1"
"22","JODHPUR","633","24","0","35","189"
"23","KARAULI","211","6","0","0","11"
"24","KOTA","1080","5","0","13","33"
"25","NAGAUR","587","12","0","17","50"
"26","PALI","964","1","0","7","41"
