"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18204","","3661","","21865",""
"2","Total Active Cases","149 
(0.82%)","","14 
(0.38%)","","163 
(0.74%)",""
"3","Total Cured/ Discharged","17897 
(98.3%)","","3589                                  
(98%)","","(98.3%)",""
"4","Total Died","158 
(0.87%)","","58 
(1.6%)","","216 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","104","","14","","118",""
"7","COVID Care Centre","17","","0","","17",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","525","","270","","795",""
"10","No. of Samples Positive (Today)","16","","00","","16",""
"11","No. of Samples Negative (Today)","508","","270","","778",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","259 
          105 
       00 
            12 
          376"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(14/12/2021)","","Test Done Today 
(15/12/2021)","","Cumulative"
"","","a)  RTPCR","241650","","521","","242171"
"","","b)  TRUENAT","11150","","08","","11158"
"","","c)  RAT","335555","","266","","335821"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","588527","","795","","589322"
