"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","773674","2","49699","0","446","1","49249","4"
"2","ALWAR","1560378","0","84429","0","320","4","84103","6"
"3","BANSWARA","306499","0","14749","0","106","3","14629","14"
"4","BARAN","225629","1","15244","0","64","0","15173","7"
"5","BARMER","398878","0","21452","0","205","2","21247","0"
"6","BHARATPUR","472025","1","31426","0","272","0","31149","5"
"7","BHILWARA","498417","0","38176","0","162","1","38014","0"
"8","BIKANER","721620","3","49881","0","586","2","49286","9"
"9","BUNDI","225991","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","446603","0","29362","0","140","1","29222","0"
"11","CHURU","421056","1","20810","0","114","0","20690","6"
"12","DAUSA","282058","0","15773","0","80","1","15692","1"
"13","DHOLPUR","273680","0","13748","0","49","1","13698","1"
"14","DUNGARPUR","325887","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","417615","0","28136","0","158","1","27967","11"
"16","HANUMANGARH","481504","0","22503","0","114","6","22366","23"
"17","JAIPUR","3295271","18","274206","0","2111","33","271912","183"
"18","JAISALMER","240721","0","17036","0","68","0","16968","0"
"19","JALORE","438668","0","10545","0","78","1","10460","7"
"20","JHALAWAR","370588","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","484342","0","19158","0","181","0","18975","2"
"22","JODHPUR","1387196","3","141017","0","1163","20","139800","54"
"23","KARAULI","233187","0","8967","0","84","2","8881","2"
