"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18536","","3753","","22289",""
"2","Total Active Cases","198 
(1.1%)","","51 
(1.4%)","","249 
(1.1%)",""
"3","Total Cured/ Discharged","18176 
(98.1%)","","3644                                  
(97.1%)","","(97.9%)",""
"4","Total Died","162 
(0.87%)","","58 
(1.5%)","","220 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","00","","13",""
"6","Total Positive cases in Home Isolation","124","","51","","175",""
"7","COVID Care Centre","45","","0","","45",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","452","","387","","839",""
"10","No. of Samples Positive (Today)","58","","07","","65",""
"11","No. of Samples Negative (Today)","394","","380","","774",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","414 
           00 
       00 
            46 
          460"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(02/01/2022)","","Test Done Today 
(03/01/2022)","","Cumulative"
"","","a)  RTPCR","255147","","755","","255902"
"","","b)  TRUENAT","11258","","06","","11264"
"","","c)  RAT","339013","","78","","339091"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","605590","","839","","606429"
