"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","206677","19195537"
"2","Total No. of patients tested Positive","308","759401"
"3","No. of patients discharged","254","741504"
"4","Total Deaths reported","2","17744"
"5","Sample collected on the day","","12333"
"6","Test conducted on the day","","10345"
"7","Positive cases on the day","","15"
"8","Number of active Cases","","153"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218527"
"14","Frontline Workers vaccinated with 1st dose on the day","","22"
"15","Total Frontline Workers vaccinated with 1st dose","","1116973"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","32"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209205"
"18","Frontline Workers vaccinated with 2nd dose on the day","","147"
"19","Total Frontline Workers vaccinated with 2nd dose","","1008919"
"20","Above 45 Vaccinated with 1st dose on the day","","724"
"21","Total Above 45 Vaccinated with 1st dose","","8275998"
"22","Above 45 Vaccinated with 2nd dose on the day","","10058"
"23","Total Above 45 Vaccinated with 2nd dose","","6916389"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2403"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12449435"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","23958"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9149098"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3716"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1010073"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","6980"
"31","Total 15-17 years age group Vaccinated with 2nddose","","561060"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8890"
"33","Total 12-14 years age group Vaccinated with 1st dose","","393677"
"34","12-14 years age group Vaccinated with 2nddose on the day","","6963"
"35","Total 12-14 years age group Vaccinated with 2nddose","","33726"
"36","Precautionary dose given on the day","","6695"
"37","Total Precautionary dose given","","510865"
"38","Total Vaccination 1st dose on the day","","3152"
"39","Total Vaccination 2nd dose on the day","","34195"
"40","Total Vaccination 1st and 2nd dose on the day","","37347"
