"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","15,093"
"2","Number of persons tested positive today in Tamil Nadu","1,902"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Andaman and Nicobar 
Islands-1"
"","Total","1,903"
"3","Total Number of persons tested positive till date","35,34,246"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","27,975/ 
6,79,54,894@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","27,235/ 
6,67,56,182"
"6","No. of Male / Female / Transgender tested positive today","1,140/763/0"
"7","No. of Male / Female / Transgender tested positive till date","20,60,511/14,73,697/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,219/ 
34,81,121"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
